alcohol	citric acid	volatile acidity:pH:residual sugar	quality
	0.28	0.17:3.15:1.8	low
10.4	0.36	0.17:3.43:1.3	high
	0.29	0.24:3.3:1.0	low
11.0	0.34	0.21:3.02:1.4	medium
10.1	0.33	0.23:3.11:8.1	medium
10.5	0.32	0.23:3.08:8.6	medium
12.1	0.28	0.22:3.23:3.7	high
9.9	0.22	0.165:3.18:5.7	medium
11.4	0.25	0.425:3.05:2.35	medium
9.5	0.29	0.38:3.0:13.65	medium
9.5		0.38:3.0:13.65	medium
9.5	0.29	0.38:3.0:13.65	medium
10.9	0.28	0.27:3.17:15.2	medium
9.5	0.27	0.17:3.08:4.6	medium
12.6	0.31	0.3:3.32:1.2	medium
9.5		0.17:3.08:4.6	medium
11.1	0.32	0.26:3.18:6.65	low
9.5		0.36:3.0:nan	high
9.5	0.29	0.38:3.0:13.65	medium
10.6	0.24	0.18:3.13:9.8	medium
10.6	0.24	0.18:3.12:10.3	medium
10.8		0.16:3.15:6.7	medium
10.9	0.28	0.27:3.17:15.2	medium
	0.27	0.17:3.34:9.9	medium
11.3	0.28	nan:3.08:7.2	medium
12.6	0.28	0.22:3.22:1.1	medium
12.5		0.36:2.96:8.3	medium
12.4	0.28	0.43:3.02:11.25	medium
11.8	0.28	0.2:3.31:12.8	high
12.2	0.23	0.32:nan:9.65	medium
10.7	0.28	0.2:3.19:12.6	medium
11.3	0.33	0.22:nan:12.2	high
12.5	0.28	0.36:2.96:8.3	medium
12.4	0.28	0.43:3.02:11.25	medium
11.3	0.49	0.18:3.05:1.3	high
9.9		0.17:3.34:9.9	medium
11.3	0.28	0.22:3.08:7.2	medium
12.6	0.28	0.22:3.22:1.1	medium
11.5	0.26	0.2:nan:1.1	medium
	0.26	0.2:2.98:nan	high
12.2	0.21	0.3:2.97:1.1	medium
13.2	0.25	0.29:nan:1.4	medium
10.2	0.28	0.18:3.13:1.7	medium
11.5	0.28	0.22:nan:10.6	high
13.2		0.29:3.08:nan	medium
	0.21	0.3:2.97:1.1	medium
	0.26	0.15:3.47:5.55	medium
13.2		0.28:2.98:2.1	high
9.5	0.21	0.19:nan:1.7	low
10.2		0.22:3.25:9.0	medium
10.2	0.28	0.18:3.13:nan	medium
11.4	0.25	0.4:3.0:1.8	medium
		0.28:3.16:4.7	high
9.2	0.49	0.36:3.01:11.3	low
12.1	0.34	0.28:3.28:3.6	high
10.7	0.35	0.19:3.1:6.9	high
12.1	0.34	0.28:3.28:3.6	high
11.2	0.32	0.22:nan:4.9	medium
10.6	0.3	0.23:3.25:6.95	medium
11.8	0.31	0.32:3.06:1.9	medium
12.5	0.27	0.28:3.16:4.7	high
		0.36:nan:11.3	low
12.6	0.35	nan:2.95:1.8	medium
12.8	0.3	0.24:3.13:nan	high
12.3		0.29:3.0:8.2	medium
12.3	0.3	0.28:2.99:nan	high
12.4	0.26	0.38:2.98:9.55	medium
	0.3	0.28:2.93:8.4	medium
9.1	0.45	0.25:nan:7.8	low
9.1		0.26:3.2:7.8	low
10.6		0.29:3.1:nan	medium
10.3	0.29	0.19:3.19:5.5	medium
9.5	0.32	0.33:3.39:7.8	low
11.1	0.33	0.32:3.25:7.4	medium
10.8	0.18	0.46:3.12:3.3	medium
11.2		0.19:2.94:5.0	low
10.8		0.46:3.12:nan	medium
11.4	0.25	0.27:2.87:5.0	low
11.2	0.28	0.18:3.21:1.3	medium
10.2	0.32	0.15:3.19:1.2	medium
11.1	0.33	0.32:3.25:nan	medium
	0.32	0.33:3.39:7.8	low
10.2	0.3	0.32:3.12:9.9	medium
11.0		0.23:3.37:nan	low
11.5	0.35	0.3:nan:4.6	high
9.8	0.17	nan:3.05:5.6	medium
10.1	0.29	0.24:3.11:9.5	medium
8.8	0.48	0.21:2.95:14.8	medium
11.5	0.35	0.3:3.15:4.6	high
12.7	0.3	0.3:3.39:2.1	high
9.8	0.4	0.37:3.1:11.6	medium
12.9	0.3	0.64:3.16:1.2	low
	0.4	0.37:3.1:11.6	medium
	0.3	nan:3.39:2.1	high
8.5	0.49	0.28:3.01:20.15	low
	0.28	0.29:3.24:4.7	high
13.1	0.28	0.28:2.98:4.3	high
9.1	0.39	0.18:3.35:14.5	low
12.5	0.27	0.32:3.36:4.9	medium
9.1	0.4	0.17:3.34:14.55	medium
9.1	0.4	0.17:3.34:14.55	medium
11.2	0.26	0.24:3.33:nan	medium
12.5	0.27	0.32:3.36:nan	medium
9.1	0.39	0.18:3.35:14.5	low
9.1	0.4	0.17:3.34:nan	medium
9.1		0.18:3.34:15.25	medium
11.5		0.29:3.24:3.15	low
	0.27	0.255:3.05:1.3	high
12.5	0.29	nan:2.95:5.2	medium
12.3	0.28	0.24:3.25:nan	medium
11.4	0.23	0.24:3.1:7.1	medium
9.4	0.22	0.4:3.22:nan	low
9.1	0.44	0.3:3.11:18.5	low
9.4	0.22	0.4:3.22:8.8	low
12.0	0.32	0.17:3.16:nan	low
11.1	0.28	0.25:3.18:1.2	low
11.8	0.27	0.27:3.1:5.0	high
	0.22	nan:3.24:1.6	medium
9.1	0.44	0.3:3.11:nan	low
12.1	0.32	0.15:3.19:6.0	high
10.4	0.3	0.34:3.15:9.4	medium
	0.29	0.17:3.12:nan	medium
13.0	0.29	nan:3.29:4.75	high
12.1	0.32	nan:3.19:6.0	high
11.5	0.29	0.21:2.93:5.35	high
11.5	0.29	0.21:2.93:5.35	high
	0.48	0.24:3.23:6.8	low
11.1	0.3	0.34:nan:nan	medium
12.4	0.0	0.54:3.26:1.4	low
12.2		0.23:2.9:0.9	medium
10.6	0.13	0.39:3.06:1.2	low
11.1	0.31	0.105:3.41:1.3	high
13.9	0.2	0.32:3.36:nan	high
9.2	0.28	0.22:2.99:12.0	medium
10.5	0.4	nan:nan:nan	medium
11.3	0.3	0.24:3.04:3.85	high
12.9	0.34	0.17:3.24:2.0	medium
12.9	0.31	0.3:3.26:1.6	high
9.6	0.41	0.29:3.12:7.8	low
12.9	0.34	0.19:3.25:1.9	medium
	0.34	0.17:3.24:2.0	medium
		0.24:3.04:10.3	low
13.2	0.36	0.16:3.23:1.1	high
	0.28	0.22:2.99:12.0	medium
11.3	0.3	0.24:3.04:3.85	high
10.5		0.19:2.98:9.85	medium
10.5	0.36	0.16:3.3:2.0	medium
12.6	0.27	0.3:3.2:4.0	high
9.5	0.19	0.22:3.05:1.1	medium
9.8		0.36:3.31:10.4	medium
13.4	0.24	0.37:3.04:6.1	high
11.8		0.31:3.05:1.8	high
9.8	0.45	0.36:3.31:10.4	medium
13.1	0.28	0.32:3.22:4.7	high
12.6	0.27	0.3:3.2:4.0	high
10.4	0.3	0.22:3.26:1.1	low
13.4		0.45:3.22:6.4	high
13.0	0.26	0.36:3.06:8.15	high
13.4	0.24	nan:3.04:6.1	high
		0.21:3.11:4.8	high
11.7	0.33	0.28:3.07:1.2	medium
9.5	0.19	nan:3.05:1.1	medium
11.7	0.2	0.2:3.03:1.4	medium
	0.31	0.28:3.04:7.4	high
11.8	0.24	nan:3.05:1.8	high
	0.44	nan:nan:1.0	medium
13.0	0.27	0.28:3.19:15.5	high
13.0	0.27	nan:3.19:15.5	high
10.9		0.24:3.34:8.4	medium
11.6	0.28	0.22:3.14:2.4	high
11.3	0.28	0.24:3.3:3.95	high
	1.0	0.43:3.29:19.95	medium
		0.3:nan:2.0	medium
13.1	0.3	nan:3.31:3.0	high
13.0	0.27	0.28:3.19:15.5	high
10.9	0.36	0.24:3.34:8.4	medium
9.1	0.45	0.29:3.14:14.3	low
13.4	0.31	nan:3.18:4.2	high
11.5	0.34	0.16:3.33:1.4	high
11.2	0.32	0.2:3.38:3.0	high
10.9	0.28	0.33:3.36:4.9	medium
13.5		0.36:nan:2.4	high
9.1	0.45	0.29:3.14:14.3	low
9.9	0.25	0.26:3.17:10.7	medium
10.5	0.24	0.22:2.98:nan	medium
11.7	0.28	0.19:3.18:1.4	high
11.0	0.31	0.21:3.49:1.2	medium
13.0	0.28	0.35:2.99:12.9	medium
13.6	0.23	0.38:2.93:10.8	medium
12.3	0.33	0.19:3.08:1.3	high
13.3	0.34	0.33:3.25:2.0	high
13.7	0.29	0.29:3.08:1.8	high
11.1	0.41	0.2:3.19:1.2	low
13.4	0.62	0.33:3.23:7.5	high
9.1	0.15	0.23:3.05:9.7	low
11.3	0.24	0.23:3.31:3.8	high
9.4	0.41	nan:3.2:7.2	low
9.1		0.23:3.05:9.7	low
11.6	0.27	0.36:nan:nan	medium
11.6	0.27	0.36:3.37:6.3	medium
12.4	0.28	0.27:3.01:0.8	medium
9.8	0.29	0.23:3.11:nan	medium
11.1	0.13	0.75:3.09:6.3	low
13.1	0.27	0.35:3.26:nan	high
	0.35	0.31:3.14:7.2	low
9.2	0.44	0.28:3.15:7.1	low
11.7		0.23:3.1:6.4	medium
10.6	0.3	0.22:3.14:14.7	medium
9.7	0.35	0.31:3.14:7.2	low
9.2	0.44	0.28:3.15:nan	low
10.9	0.28	0.24:3.1:1.9	medium
10.1	0.47	0.27:3.23:1.2	low
12.2	0.25	0.28:3.17:4.8	high
12.7	0.31	0.27:3.03:1.2	medium
13.0	0.25	0.28:2.98:3.4	medium
11.2	0.27	0.26:3.16:nan	medium
9.4	0.37	0.23:3.2:8.5	medium
	0.2	nan:3.41:1.8	medium
11.0	0.2	0.33:3.41:1.8	medium
9.2	0.29	nan:3.1:19.5	medium
9.4	0.37	0.23:3.2:8.5	medium
9.2	0.29	0.2:3.1:19.9	medium
12.3	0.19	0.47:3.22:8.3	medium
11.0	0.2	0.33:nan:1.8	medium
10.0	0.32	0.14:3.04:nan	medium
9.0	0.22	nan:3.24:16.65	medium
9.0	0.22	0.22:3.24:nan	medium
9.0		0.22:3.24:16.65	medium
11.1	0.28	0.2:2.92:0.9	medium
9.9	0.15	0.14:3.06:6.1	medium
12.2	0.21	nan:3.66:10.2	high
11.1	0.28	0.2:2.92:nan	medium
9.0	0.22	0.22:3.24:16.65	medium
11.8	0.24	0.34:nan:3.85	low
12.9	0.28	0.64:3.11:4.4	medium
9.0		0.48:2.86:4.5	low
12.4	0.34	0.37:3.01:3.2	medium
9.0	0.12	0.48:2.86:4.5	low
12.9	0.28	0.64:3.11:4.4	medium
11.2	0.27	0.25:2.99:9.7	medium
12.6	0.28	0.38:3.0:4.2	medium
11.5	0.27	0.26:3.12:4.2	medium
11.3	0.34	0.15:3.07:1.1	high
11.2	0.27	0.25:2.99:9.7	medium
11.5	0.27	0.26:3.12:4.2	medium
10.5	0.0	nan:3.32:5.6	low
12.6	0.28	0.38:3.0:4.2	medium
11.9	0.4	0.31:3.15:nan	medium
10.1	0.21	0.17:nan:1.6	medium
11.0	0.28	0.18:3.15:1.1	high
	0.36	0.28:3.14:14.6	low
11.3	0.27	0.23:3.04:2.6	high
11.2	0.22	0.22:3.1:1.2	low
11.5	0.28	0.25:2.94:7.25	high
11.1	0.21	nan:2.92:6.55	low
12.8	0.24	0.26:3.14:7.0	high
	0.32	0.32:3.3:1.5	medium
10.4	0.3	0.24:3.26:1.4	medium
11.5	0.28	0.25:nan:7.25	high
11.7	0.35	0.24:3.16:1.0	high
10.7	0.28	0.28:3.35:4.2	high
9.5	0.71	0.19:2.85:17.5	medium
	0.71	0.19:2.85:17.5	medium
9.5	0.71	0.19:2.85:17.5	medium
12.0	0.35	nan:3.18:1.5	high
10.8	0.36	0.28:3.31:1.3	low
10.7	0.27	0.28:3.35:3.9	high
10.7	0.28	0.28:3.35:4.2	high
10.7	0.32	nan:3.12:7.6	high
12.1	0.29	0.16:3.12:1.0	high
11.9	0.28	0.17:3.0:1.1	high
10.8	0.28	0.19:3.18:11.8	medium
12.3	0.24	0.2:3.59:1.4	high
9.4		0.39:3.3:nan	medium
9.9		0.12:3.2:12.9	medium
10.4	0.24	0.295:3.35:1.6	high
10.4	0.24	0.26:3.35:7.2	medium
12.6	0.27	0.32:3.15:7.1	high
12.5	0.23	0.36:nan:1.9	medium
9.4	0.48	0.35:nan:8.8	low
9.2	0.24	nan:3.11:7.2	low
11.2	0.18	nan:3.27:1.4	medium
9.2	0.25	0.16:2.91:14.3	medium
	0.25	0.16:2.91:14.3	medium
9.4		0.35:3.04:8.8	low
11.2	0.18	0.14:3.27:1.4	medium
10.8	0.18	0.16:3.27:1.8	medium
9.2	0.25	0.16:2.91:14.3	medium
9.2	0.24	0.38:3.11:nan	low
12.5		0.24:2.96:1.2	medium
9.3	0.61	nan:3.0:nan	low
	0.33	0.29:3.21:0.9	low
10.0	0.24	0.27:3.04:12.6	high
10.6		0.45:3.06:26.05	medium
10.7	0.26	0.2:3.07:4.7	high
10.0	0.24	0.27:3.04:12.6	high
12.5	0.3	0.24:2.96:1.2	medium
10.6		0.45:3.06:26.05	medium
12.8	0.28	0.36:3.19:6.1	high
9.3	0.61	0.32:3.0:11.8	low
	0.33	0.29:3.21:0.9	low
	0.2	0.37:nan:5.6	low
9.5	0.2	0.38:3.24:5.3	medium
9.5	0.2	0.36:3.24:5.7	medium
10.8		0.3:3.06:nan	medium
10.8	0.25	0.3:3.06:8.0	medium
8.8	0.51	nan:3.2:17.6	medium
10.8	0.25	0.3:3.06:8.0	medium
11.0	0.27	0.31:3.08:nan	high
	0.0	0.58:3.29:nan	medium
11.3	0.39	0.26:3.25:1.4	high
11.2	0.34	0.3:nan:4.8	high
12.5	0.32	0.29:3.24:2.4	high
10.0	0.32	0.13:3.12:nan	medium
11.0	0.33	0.19:3.12:4.9	medium
10.5	0.4	0.25:3.16:5.7	medium
10.5	0.4	0.25:3.16:5.7	medium
11.0	0.33	0.19:3.12:4.9	medium
11.4	0.23	0.24:3.12:2.0	high
11.3	0.28	0.18:3.16:5.1	medium
12.2	0.22	nan:2.97:4.5	high
12.6	0.24	0.29:2.9:3.2	high
11.1	0.25	0.31:2.9:6.65	low
12.3	0.37	0.29:3.26:1.6	medium
10.4	0.6	0.19:2.92:4.0	low
8.8	0.17	0.32:3.13:17.75	medium
9.5	0.33	0.085:3.27:1.4	medium
8.8	0.17	0.32:3.13:17.75	medium
10.4	0.32	0.18:3.42:7.2	medium
13.0	0.26	0.52:3.11:5.7	high
12.2	0.28	0.28:3.16:8.5	high
10.5	0.47	0.15:3.03:11.4	high
	0.3	0.275:3.33:5.4	high
13.2	0.16	0.53:3.2:2.7	high
13.0	0.28	0.32:3.16:4.3	high
	0.39	0.22:3.5:1.2	medium
10.4	0.12	0.6:3.42:1.8	low
12.4	0.31	0.26:3.16:1.3	medium
	0.54	0.29:3.27:5.7	high
13.2	0.16	0.53:3.2:2.7	high
10.5	0.26	0.21:3.02:11.7	high
13.0	0.28	0.32:3.16:4.3	high
11.2	0.26	0.27:3.07:11.0	low
12.7	0.32	0.37:3.41:1.6	high
9.4	0.18	0.21:3.14:11.6	medium
12.9	0.29	0.3:3.03:6.2	high
13.0	0.29	0.41:nan:1.8	high
13.6	0.3	0.3:3.31:1.2	high
9.1	0.2	nan:3.32:1.0	low
10.4	0.19	0.25:3.25:2.4	medium
13.6	0.3	0.3:3.31:1.2	high
12.2	0.58	0.58:3.28:8.2	medium
8.7	0.25	nan:3.1:18.8	low
10.5	0.27	0.2:3.04:9.6	high
10.2		0.15:3.24:nan	medium
		0.22:3.06:9.2	high
11.3	0.44	0.16:3.11:1.2	high
10.2		0.15:3.24:nan	medium
12.6	0.3	0.31:3.13:8.0	high
10.2		0.15:3.24:nan	medium
9.8	0.37	0.3:3.09:1.6	low
10.8	0.27	0.16:3.15:12.0	low
12.5	0.35	0.21:3.32:2.5	medium
12.5	0.26	0.22:3.06:9.2	high
11.5	0.24	0.21:nan:4.4	high
11.4	0.26	nan:2.98:8.8	medium
10.5	0.27	0.2:3.04:9.6	high
12.6	0.3	nan:3.13:8.0	high
8.7	0.25	nan:3.1:18.8	low
11.0	0.4	0.15:3.17:1.3	medium
11.3	0.44	0.16:3.11:1.2	high
10.2	0.41	0.15:3.24:12.9	medium
11.6		0.22:3.06:1.2	medium
9.8	0.37	0.3:3.09:1.6	low
10.1		0.3:3.1:1.5	low
9.2	0.22	0.26:3.06:nan	low
9.1	0.31	0.24:3.05:nan	medium
9.1	0.31	0.24:3.05:13.1	medium
9.1	0.31	0.24:3.05:13.1	medium
9.1	0.31	0.24:3.05:13.1	medium
	0.34	0.15:2.96:1.0	medium
12.6	0.43	0.34:3.23:1.6	medium
	0.46	0.35:2.86:11.8	low
10.1		0.31:3.12:1.4	low
13.6	0.09	0.67:3.3:1.0	low
9.1		0.24:3.05:13.1	medium
9.2	0.18	0.2:3.09:10.6	low
8.8	0.23	0.28:3.12:10.4	low
10.0	0.3	0.18:nan:1.1	low
9.1		0.35:3.47:7.4	medium
	0.26	0.22:3.04:1.2	low
	0.24	0.18:3.11:3.4	medium
9.2	0.22	0.26:3.06:18.15	low
9.5	0.45	0.3:3.18:8.0	low
11.9	0.27	0.34:3.35:2.5	high
9.8	0.23	0.3:3.11:2.0	low
9.8	0.23	0.31:3.11:2.0	low
10.8	0.28	nan:3.36:6.9	high
11.3	0.33	0.255:3.37:1.2	medium
12.1	0.28	0.26:3.17:nan	medium
11.3	0.28	0.17:3.38:2.9	high
10.8	0.28	0.265:3.36:6.9	high
13.5		0.2:3.36:5.4	high
10.3	0.41	nan:3.28:1.3	low
9.0		0.22:3.11:20.8	medium
11.6	0.26	0.34:3.08:10.3	medium
10.3	0.41	0.28:3.28:1.3	low
12.5	0.34	0.19:3.21:1.6	medium
8.6	0.29	0.21:3.39:13.1	low
13.4	0.46	0.22:3.19:1.8	medium
12.7	0.48	0.32:nan:8.0	low
9.2	0.72	0.21:2.97:1.6	low
10.2		nan:3.32:1.4	medium
9.0	0.28	0.15:nan:14.7	high
9.0	0.28	0.15:2.96:14.7	high
9.0	0.28	nan:nan:14.7	high
9.0	0.28	0.15:2.96:14.7	high
	0.28	0.15:2.96:14.7	high
9.0	0.28	0.15:2.96:14.7	high
9.0	0.28	0.15:2.96:nan	high
11.9	0.28	0.27:3.02:1.8	low
9.0		0.22:2.89:10.6	medium
9.0		0.24:3.3:12.5	low
11.0	0.29	0.28:3.43:6.8	medium
9.0	0.28	0.15:2.96:14.7	high
10.0	0.23	0.17:3.28:2.9	low
	0.34	0.26:3.29:1.4	low
	0.33	0.27:3.29:1.4	low
13.4	0.15	0.46:3.39:2.1	high
11.0	0.32	0.19:2.99:7.4	medium
10.0	0.23	nan:3.28:2.9	low
	0.34	0.26:3.29:1.4	low
10.7	0.33	0.27:3.29:nan	low
11.0	0.32	0.19:2.99:7.4	medium
11.0	0.32	nan:2.99:5.0	medium
11.1	0.28	0.17:3.16:2.5	high
10.9	0.35	0.2:2.79:6.1	low
11.5		0.39:3.03:2.7	low
13.4	0.15	0.46:3.39:2.1	high
9.4	0.17	0.4:3.08:12.9	low
9.4	0.17	0.4:3.08:12.9	low
9.4	0.17	nan:3.08:12.9	low
10.6	0.29	0.24:3.17:13.7	medium
9.4		0.4:3.08:nan	low
12.0		0.27:3.03:2.4	low
10.2	0.28	0.27:3.14:9.8	medium
	0.29	0.24:3.17:13.7	medium
13.5	0.12	0.61:3.26:1.3	low
9.7		0.42:3.31:12.1	low
12.2	0.28	0.33:3.24:6.1	medium
12.3	0.31	0.33:3.11:7.7	low
12.2	0.28	0.33:3.24:nan	medium
11.4	0.3	0.15:3.42:1.4	high
12.7	0.45	0.32:3.2:7.7	high
9.7	0.39	0.42:nan:nan	low
	0.29	0.25:3.13:6.8	medium
11.0	0.3	0.27:3.08:9.2	medium
9.5	0.45	0.27:3.18:8.3	low
10.1	0.27	0.25:3.2:17.4	medium
13.2	0.31	0.19:nan:2.7	high
8.8	0.48	0.29:3.02:12.8	low
9.5	0.44	0.34:3.18:8.2	low
9.5	0.52	0.27:3.18:8.1	low
9.5	0.52	0.26:3.16:8.2	medium
9.5	0.45	0.27:3.18:8.3	low
9.5	0.5	0.26:3.18:8.0	low
10.4	0.3	0.25:3.03:11.8	medium
9.9		0.32:3.14:12.0	medium
10.0	0.45	0.24:3.22:1.7	low
10.1		nan:3.2:17.4	medium
9.4	0.29	nan:3.17:13.9	medium
9.3	0.21	nan:3.03:nan	low
10.9	0.39	0.21:nan:2.0	low
11.4	0.28	0.3:nan:2.2	low
10.3	0.3	0.2:2.99:1.3	low
	0.3	0.18:3.02:1.1	medium
10.9	0.39	0.21:3.05:2.0	low
10.8	0.34	nan:2.99:6.4	medium
10.3	0.3	0.2:nan:1.3	low
11.0	0.3	nan:3.02:nan	medium
9.3	0.21	0.39:3.03:10.7	low
10.2	0.62	0.21:2.96:6.4	low
	0.62	0.21:2.96:6.3	medium
	0.34	0.17:2.99:6.4	medium
10.5	0.34	0.26:3.24:15.1	low
	0.38	0.28:3.13:2.0	low
	0.39	0.21:3.05:2.0	low
11.4	0.28	0.3:nan:2.2	low
10.3	0.28	0.34:3.22:12.1	low
12.9	0.32	0.43:3.28:8.8	high
9.9		0.41:3.12:nan	low
11.3	0.24	0.4:3.24:5.1	medium
11.5	0.26	0.35:3.38:6.8	medium
11.5	0.26	0.35:3.38:6.8	medium
	0.2	0.3:3.0:3.7	low
10.4	0.28	0.28:3.03:12.2	medium
12.5	0.28	0.33:3.17:5.7	medium
9.5	0.49	0.26:3.19:8.1	low
11.3	0.3	0.24:3.05:2.5	high
13.0	0.21	0.46:nan:4.0	medium
11.5	0.26	0.35:nan:6.8	medium
11.5	0.18	0.23:3.22:1.0	low
11.3	0.24	0.4:3.24:5.1	medium
13.2	0.23	0.44:3.15:5.8	high
11.5	0.23	0.26:3.46:10.6	high
9.6	0.19	0.31:2.83:3.5	low
9.6	0.19	nan:2.83:3.5	low
9.7	0.29	0.15:3.15:16.4	medium
9.2	0.22	0.41:3.14:4.8	low
8.4	0.23	0.31:3.16:3.3	low
12.4	0.33	0.27:3.0:1.2	medium
12.4	0.33	nan:3.0:1.2	medium
	0.22	0.41:3.14:4.8	low
8.4	0.23	0.31:3.16:3.3	low
11.7	0.25	nan:3.14:nan	medium
11.0	0.5	0.21:2.96:8.7	medium
11.9	0.31	nan:2.97:1.6	medium
13.2	0.28	0.34:3.2:nan	high
	0.25	0.37:3.14:nan	medium
9.1	0.23	0.32:3.26:16.2	low
12.6	0.32	0.24:3.34:9.0	medium
9.1	0.23	0.32:3.26:16.2	low
10.5	0.79	0.39:3.17:1.4	medium
10.6	0.43	0.31:3.23:7.0	low
	0.32	0.24:3.34:9.0	medium
13.7		0.17:3.41:3.1	high
12.0	0.23	0.2:3.36:nan	medium
12.5	0.26	0.32:3.4:4.6	high
12.1	0.27	0.12:3.55:4.8	medium
11.3	0.29	0.18:3.21:4.6	medium
12.0	0.23	0.2:3.36:1.5	medium
10.3	0.27	0.17:3.46:2.7	medium
	0.3	0.21:3.27:6.3	medium
9.2	0.26	nan:3.12:7.2	low
	0.26	0.25:3.12:7.2	low
9.5	0.3	0.22:3.1:12.4	medium
10.1		0.27:3.16:6.6	medium
10.1	0.19	0.27:3.16:6.6	medium
13.0	0.22	0.39:3.25:nan	high
13.1	0.38	0.31:3.24:4.8	medium
	0.32	0.23:3.1:1.3	medium
9.2	0.26	0.25:3.12:7.2	low
9.4	0.25	0.22:3.08:nan	medium
9.5	0.3	nan:3.1:12.4	medium
10.2	0.27	0.23:3.16:9.8	medium
10.1	0.19	0.27:nan:6.6	medium
8.6	0.54	nan:3.06:nan	low
9.0	0.51	0.37:2.91:11.7	low
9.6	0.51	0.26:nan:8.0	low
9.9	0.27	0.22:3.29:1.6	high
10.5	0.28	0.22:3.2:16.55	low
11.4	0.31	0.28:nan:1.5	low
9.4	0.31	0.35:nan:10.2	low
		0.73:3.12:nan	low
8.9	0.24	0.28:3.1:17.8	medium
8.9	0.24	0.28:nan:17.8	medium
10.8	0.37	0.2:3.15:1.5	low
12.2	0.31	0.33:3.06:7.4	medium
8.9	0.24	0.28:nan:17.8	medium
12.5	0.36	0.24:3.13:nan	medium
12.2	0.31	0.33:3.06:7.4	medium
12.5	0.36	0.24:3.13:2.0	medium
8.9		0.28:3.1:17.8	medium
10.8	0.26	0.27:3.16:12.1	medium
11.4	0.26	0.38:2.99:8.2	medium
10.8		0.2:nan:1.5	low
	0.3	0.21:nan:8.7	low
	0.1	0.34:3.01:3.5	low
12.2	0.16	0.435:3.24:6.4	medium
	0.33	0.25:3.26:2.1	medium
10.4	0.29	0.26:3.23:7.7	medium
10.4	0.3	0.24:2.99:12.3	medium
11.0	0.34	nan:3.07:1.3	high
10.6	0.3	0.21:3.18:8.7	low
9.2		0.34:3.01:3.5	low
13.5	0.12	0.65:3.32:1.1	low
	0.38	0.22:2.95:nan	medium
11.5	0.26	0.27:3.1:3.5	medium
14.0	0.18	0.455:3.21:1.9	high
12.5	0.3	0.33:3.25:3.8	high
12.5	0.3	0.33:nan:3.8	high
12.8	0.3	0.31:3.09:nan	high
11.2	0.24	0.39:3.23:4.8	high
11.2		0.39:3.23:4.8	high
13.6	0.3	0.37:3.17:6.2	medium
9.2	0.82	0.23:nan:1.3	medium
12.5	0.3	0.33:3.25:3.8	high
		0.25:3.17:1.5	medium
11.2	0.24	0.39:3.23:4.8	high
14.0	0.18	0.455:3.21:1.9	high
13.6	0.3	0.37:3.17:6.2	medium
9.4	0.51	0.28:3.18:7.9	low
14.2	0.28	0.35:3.12:1.6	high
	0.28	0.31:3.0:1.4	medium
11.2	0.37	0.25:3.04:2.6	medium
10.2	0.34	0.36:3.14:nan	low
12.8	0.3	0.31:3.09:2.4	high
10.1	0.3	0.31:2.95:nan	low
10.1	0.3	nan:2.95:0.9	low
10.3	0.33	0.22:2.83:1.2	low
9.9	0.29	0.14:3.19:9.9	medium
11.5	0.31	0.22:3.15:3.9	low
9.0	0.47	0.32:3.18:nan	low
9.0	0.47	0.32:nan:15.6	low
12.1	0.26	0.28:3.03:1.5	medium
13.3	0.28	0.3:3.14:nan	medium
11.5	0.28	0.22:3.22:7.8	high
11.0	0.21	0.31:2.96:5.6	low
10.7	0.3	0.27:3.28:1.3	medium
		0.46:3.08:16.7	low
10.3	0.25	0.23:3.44:7.95	medium
9.3	0.36	0.36:nan:6.7	low
12.0	0.38	0.18:2.88:1.1	medium
11.0	0.32	0.27:3.21:6.3	medium
9.3	0.37	0.4:3.16:8.9	low
10.1	0.34	0.345:3.24:1.0	low
11.1	0.39	0.23:3.18:1.5	medium
9.9	0.15	0.2:2.99:6.6	medium
11.0	0.32	0.27:3.22:6.2	medium
11.0	0.32	0.27:nan:6.3	medium
12.5	0.33	0.3:3.32:2.1	medium
12.7	0.32	0.3:3.31:nan	high
9.3	0.3	0.14:3.32:5.4	low
	0.37	nan:3.16:8.9	low
10.1	0.34	0.345:3.24:1.0	low
8.8	0.2	0.33:3.14:nan	low
11.2	0.3	0.16:2.88:2.6	medium
10.8	0.3	0.22:3.13:1.3	high
8.8	0.2	0.33:3.14:17.9	low
11.2		0.16:2.88:2.6	medium
10.3	0.18	0.24:3.24:2.3	low
12.0	0.36	0.31:3.11:nan	low
9.5	0.19	0.185:3.26:7.1	medium
9.5		0.185:3.26:7.1	medium
9.8	0.24	0.43:3.14:11.9	medium
9.0	0.46	0.39:2.91:nan	low
13.0	0.27	0.58:3.17:5.8	high
11.8	0.32	0.34:3.39:3.8	high
8.8		0.35:2.97:12.4	low
11.2	0.23	0.38:3.1:6.5	low
9.5	0.19	0.185:3.26:7.1	medium
9.4	0.51	0.27:3.16:7.6	low
9.5		0.29:3.16:7.9	medium
10.4	0.3	0.17:3.03:2.8	medium
9.8	0.31	0.18:nan:10.6	high
10.4		nan:3.03:2.8	medium
10.3	0.67	0.37:3.06:1.5	medium
9.4	0.51	0.27:3.16:7.6	low
9.5	0.52	nan:3.16:7.9	medium
11.9	0.26	0.24:3.19:1.7	high
12.8	0.29	0.32:3.15:7.6	high
13.0	0.25	0.27:3.09:7.5	medium
